Perimètre juridique,Perimètre spatial,Spatial perimeter,Filière,Sector,Centrale,Catégorie centrale,Power station category,Année de mise en service,Puissance installée,Capacité de réserve secondaire,Unité,Département,Code postal,Commune,Coordonnées X_WGS,Coordonnées Y_WGS
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,BATHIE (LA),Lac,Lake,1960,602,222,MW,SAVOIE,73540,BATHIE,45.6452741068,6.44492758326
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,GRAND-MAISON,Pompage mixte,Mixed pumping,1985,1714,210,MW,ISERE,38114,VAUJANY,45.1457930893,6.05115827544
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,REVIN,Pompage pur,Pure pumping,1976,800,145,MW,ARDENNES,08500,MAZURES,49.9255656349,4.61327746046
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,MONTEZIC,Pompage pur,Pure pumping,1982,910,100,MW,AVEYRON,12460,MONTEZIC,44.7292886764,2.64376810981
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,VILLARODIN,Lac,Lake,1968,364,100,MW,SAVOIE,73500,AVRIEUX,45.2126250359,6.71626869424
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,MALGOVERT,Lac,Lake,1953,297,85,MW,SAVOIE,73700,SEEZ,45.6178573824,6.79057917975
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,POUGET (LE),Lac,Lake,1952,446.9,80,MW,AVEYRON,12430,TRUEL,44.0589519061,2.76855872011
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,COCHE (LA),Pompage mixte,Mixed pumping,1975,384,77,MW,SAVOIE,73260,BOIS,45.4943552104,6.51248044108
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,CHEYLAS (LE),Pompage mixte,Mixed pumping,1979,485,70,MW,ISERE,38570,CHEYLAS,45.3845817547,6.00091740755
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,MONTEYNARD,Lac,Lake,1962,366,67,MW,ISERE,38770,MONTEYNARD,44.9617121786,5.68839288081
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,BROMMAT,Lac,Lake,1933,406,66,MW,AVEYRON,12600,BROMMAT,44.7675662205,2.68354402065
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,SUPER-BISSORTE,Pompage mixte,Mixed pumping,1987,742.3,50,MW,SAVOIE,73140,ORELLE,45.2014392462,6.57717766773
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,SERRE-PONCON,Lac,Lake,1960,384,45,MW,ALPES-DE-HAUTE-PROVENCE,04340,BREOLE,44.4693015247,6.27264740626
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,VOUGLANS,Lac,Lake,1968,285,38,MW,JURA,39240,CERNON,46.3965074794,5.66337047195
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,PRAGNERES,Lac,Lake,1955,189.2,35,MW,HAUTES-PYRENEES,65120,GEDRE,42.8208348511,0.0107459425422
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,BORT,Lac,Lake,1952,235,34,MW,CORREZE,19110,BORT-LES-ORGUES,45.4129035471,2.49842267793
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,AIGLE (L'),Lac,Lake,1945,360,31,MW,CANTAL,15200,CHALVIGNAC,45.243248798,2.22479826896
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,SAINT-GUILLERME II,Lac,Lake,1983,116,30,MW,ISERE,38142,AURIS,45.0290810716,6.07329092525
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,MONTAHUT,Lac,Lake,1966,95,28,MW,HERAULT,34390,SAINT-JULIEN,43.5719771668,2.93508863021
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,HOSPITALET (L'),Lac,Lake,1960,92.8,27,MW,ARIEGE,09390,HOSPITALET-PRES-L'ANDORRE,42.5879264975,1.79678791984
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,COMBE-D'AVRIEUX,Lac,Lake,1975,123,26,MW,SAVOIE,73500,AVRIEUX,45.2158999694,6.7170123428
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,ORLU,Lac,Lake,1958,88.8,26,MW,ARIEGE,09110,AX-LES-THERMES,42.6891537831,1.91135501712
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,MONTPEZAT,Lac,Lake,1954,131.8,25,MW,ARDECHE,07560,MONTPEZAT-SOUS-BAUZON,44.7040951098,4.23126533041
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,SARRANS,Lac,Lake,1934,183,25,MW,AVEYRON,12420,SAINTE-GENEVIEVE-SUR-ARGENCE,44.8286856441,2.74004741274
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,SAINTE-CROIX,Lac,Lake,1975,132.27,22,MW,ALPES-DE-HAUTE-PROVENCE,04500,SAINTE-CROIX-DU-VERDON,43.7374820165,6.1340744954
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,CHASTANG (LE),Eclusée,Lock,1951,293,20,MW,CORREZE,19220,SERVIERES-LE-CHATEAU,45.1509472837,2.00913485805
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,GRANDVAL,Lac,Lake,1959,74.1,20,MW,CANTAL,15260,LAVASTRIE,44.9221545252,3.07405419788
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,VOGELGRUN,Fil de l'eau,As the water flows,1959,140.5,,MW,HAUT-RHIN,68600,VOGELGRUN,48.0204002225,7.57406533673
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,ASTON,Eclusée,Lock,1947,104,,MW,ARIEGE,09310,ASTON,42.7766740737,1.67713212735
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,COUESQUE,Eclusée,Lock,1950,119,,MW,AVEYRON,12140,SAINT-HIPPOLYTE,44.6952954348,2.58251383517
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,CURBANS,Lac,Lake,1966,139,,MW,HAUTES-ALPES,05130,TALLARD,44.4472890333,6.05982082374
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,FESSENHEIM,Fil de l'eau,As the water flows,1956,175,,MW,HAUT-RHIN,68740,FESSENHEIM,47.9150916717,7.57053930693
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,GERSTHEIM,Fil de l'eau,As the water flows,1967,139.4,,MW,BAS-RHIN,67150,GERSTHEIM,48.4039880395,7.72694328696
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,HERMILLON,Eclusée,Lock,1974,129.14,,MW,SAVOIE,73300,HERMILLON,45.2850094448,6.36403187388
EDF SA,"France métropolitaine, sans la Corse ni les iles du ponant","Metropolitan France, excluding Corsica and the Ponant Islands",Hydraulique,Hydraulic,KEMBS,Fil de l'eau,As the water flows,1932,162.1,,MW,HAUT-RHIN,68680,KEMBS,47.6543552963,7.51876894514
