source_id;dest_id;capacity;cost;min_flow
P_BELLEVILLE;C_ORLEANS;2620000;8.45;0
P_BELLEVILLE;C_CRETEIL;2620000;14.49;0
P_BELLEVILLE;C_VITRY_SUR_SEINE;2620000;14.62;0
P_BLAYAIS_(LE);C_BORDEAUX;3640000;4.75;0
P_BLAYAIS_(LE);C_LIMOGES;3640000;16.49;0
P_BLAYAIS_(LE);C_POITIERS;3640000;16.73;0
P_BUGEY_(LE);C_VILLEURBANNE;3580000;2.93;0
P_BUGEY_(LE);C_LYON;3580000;3.36;0
P_BUGEY_(LE);C_ANNECY;3580000;6.77;0
P_CATTENOM;C_METZ;5200000;3.31;0
P_CATTENOM;C_NANCY;5200000;8.05;0
P_CATTENOM;C_STRASBOURG;5200000;14.59;0
P_CHINON_B;C_TOURS;3620000;4.31;0
P_CHINON_B;C_ANGERS;3620000;6.17;0
P_CHINON_B;C_POITIERS;3620000;7.33;0
P_CHOOZ_B;C_REIMS;3000000;10.74;0
P_CHOOZ_B;C_ROUBAIX;3000000;13.24;0
P_CHOOZ_B;C_TOURCOING;3000000;13.59;0
P_CIVAUX;C_POITIERS;2990000;2.7;0
P_CIVAUX;C_LIMOGES;2990000;8.43;0
P_CIVAUX;C_TOURS;2990000;10.37;0
P_CRUAS;C_AVIGNON;3660000;7.61;0
P_CRUAS;C_NIMES;3660000;9.38;0
P_CRUAS;C_SAINT_ETIENNE;3660000;9.42;0
P_DAMPIERRE_EN_BURLY;C_ORLEANS;3560000;4.92;0
P_DAMPIERRE_EN_BURLY;C_CRETEIL;3560000;11.69;0
P_DAMPIERRE_EN_BURLY;C_VITRY_SUR_SEINE;3560000;11.73;0
P_FLAMANVILLE;C_CAEN;2660000;11.64;0
P_FLAMANVILLE;C_LE_HAVRE;2660000;14.38;0
P_FLAMANVILLE;C_RENNES;2660000;15.85;0
P_GOLFECH;C_TOULOUSE;2620000;7.35;0
P_GOLFECH;C_PAU;2620000;13.3;0
P_GOLFECH;C_BORDEAUX;2620000;13.93;0
P_GRAVELINES;C_DUNKERQUE;5460000;1.68;0
P_GRAVELINES;C_LILLE;5460000;7.73;0
P_GRAVELINES;C_TOURCOING;5460000;7.79;0
P_NOGENT_SUR_SEINE;C_CRETEIL;2620000;8.32;0
P_NOGENT_SUR_SEINE;C_VITRY_SUR_SEINE;2620000;8.79;0
P_NOGENT_SUR_SEINE;C_MONTREUIL;2620000;8.8;0
P_PALUEL;C_LE_HAVRE;5320000;5.55;0
P_PALUEL;C_ROUEN;5320000;5.71;0
P_PALUEL;C_CAEN;5320000;10.45;0
P_PENLY;C_ROUEN;2660000;5.98;0
P_PENLY;C_AMIENS;2660000;7.82;0
P_PENLY;C_LE_HAVRE;2660000;9.56;0
P_ST_ALBAN_ST_MAURICE;C_SAINT_ETIENNE;2670000;2.9;0
P_ST_ALBAN_ST_MAURICE;C_LYON;2670000;4.04;0
P_ST_ALBAN_ST_MAURICE;C_VILLEURBANNE;2670000;4.21;0
P_ST_LAURENT_DES_EAUX_B;C_ORLEANS;1830000;3.19;0
P_ST_LAURENT_DES_EAUX_B;C_TOURS;1830000;7.64;0
P_ST_LAURENT_DES_EAUX_B;C_LE_MANS;1830000;10.78;0
P_TRICASTIN_(LE);C_AVIGNON;3660000;4.23;0
P_TRICASTIN_(LE);C_NIMES;3660000;6.2;0
P_TRICASTIN_(LE);C_MONTPELLIER;3660000;10.49;0
P_ARRIGHI;C_VITRY_SUR_SEINE;254000;0.15;0
P_ARRIGHI;C_CRETEIL;254000;0.37;0
P_ARRIGHI;C_MONTREUIL;254000;0.84;0
P_BLENOD;C_NANCY;427000;2.09;0
P_BLENOD;C_METZ;427000;2.9;0
P_BLENOD;C_STRASBOURG;427000;12.7;0
P_BOUCHAIN;C_LILLE;585000;4.13;0
P_BOUCHAIN;C_ROUBAIX;585000;4.51;0
P_BOUCHAIN;C_TOURCOING;585000;4.92;0
P_BRENNILIS;C_BREST;304000;4.56;0
P_BRENNILIS;C_RENNES;304000;16.46;0
P_BRENNILIS;C_NANTES;304000;21.43;0
P_CORDEMAIS;C_NANTES;1160000;2.5;0
P_CORDEMAIS;C_RENNES;1160000;9.48;0
P_CORDEMAIS;C_ANGERS;1160000;10.13;0
P_DIRINON;C_BREST;170000;1.63;0
P_DIRINON;C_RENNES;170000;19.39;0
P_DIRINON;C_NANTES;170000;24.07;0
P_GENNEVILLIERS;C_ARGENTEUIL;203000;0.15;0
P_GENNEVILLIERS;C_COURBEVOIE;203000;0.45;0
P_GENNEVILLIERS;C_NANTERRE;203000;0.6;0
P_MARTIGUES_PONTEAU;C_MARSEILLE;930000;2.9;0
P_MARTIGUES_PONTEAU;C_AIX_EN_PROVENCE;930000;3.93;0
P_MARTIGUES_PONTEAU;C_AVIGNON;930000;6.8;0
P_MONTEREAU;C_CRETEIL;370000;5.27;0
P_MONTEREAU;C_VITRY_SUR_SEINE;370000;5.56;0
P_MONTEREAU;C_MONTREUIL;370000;6.11;0
P_VAIRES_SUR_MARNE;C_MONTREUIL;542000;1.5;0
P_VAIRES_SUR_MARNE;C_CRETEIL;542000;1.68;0
P_VAIRES_SUR_MARNE;C_VITRY_SUR_SEINE;542000;2.09;0
P_BATHIE_(LA);C_ANNECY;602000;3.74;0
P_BATHIE_(LA);C_GRENOBLE;602000;7.58;0
P_BATHIE_(LA);C_VILLEURBANNE;602000;12.15;0
P_GRAND_MAISON;C_GRENOBLE;1714000;2.6;0
P_GRAND_MAISON;C_ANNECY;1714000;8.4;0
P_GRAND_MAISON;C_VILLEURBANNE;1714000;11.42;0
P_REVIN;C_REIMS;800000;8.52;0
P_REVIN;C_ROUBAIX;800000;13.29;0
P_REVIN;C_LILLE;800000;13.54;0
P_MONTEZIC;C_CLERMONT_FERRAND;910000;12.16;0
P_MONTEZIC;C_TOULOUSE;910000;15.74;0
P_MONTEZIC;C_SAINT_ETIENNE;910000;15.8;0
P_VILLARODIN;C_GRENOBLE;364000;7.78;0
P_VILLARODIN;C_ANNECY;364000;8.9;0
P_VILLARODIN;C_VILLEURBANNE;364000;15.53;0
P_MALGOVERT;C_ANNECY;297000;6.01;0
P_MALGOVERT;C_GRENOBLE;297000;9.59;0
P_MALGOVERT;C_VILLEURBANNE;297000;14.86;0
P_POUGET_(LE);C_MONTPELLIER;446900;10.19;0
P_POUGET_(LE);C_TOULOUSE;446900;11.76;0
P_POUGET_(LE);C_NIMES;446900;12.98;0
